91	7 4555 4 3236 3687| 2348 , 35 , | 18 224 3189 4815
91	10 28 18 900 4 7 3236 828| 10 , | 7 9270
92	3117| | 592
93	253| 10 , 2193 , | 5053
93	253| 10 2193 6 , | 4013
94	18 7897 4 18 183 1054| 247 , 1 , | 2660 8137 4 1872
94	12461| 285 , 216 144 , | 18 7897 4 18 183 1054
94	18 7897 4 18 183 1054| 247 , 1 , 13 , | 5679
94	18 7897 4 18 183 1054| 247 , 1 , 4 , | 18 183 184 6622 4233
94	18 7897 4 18 183 1054| 247 , 1 , | 154029 4 1423
96	7 900| | 653 42 742 966
96	7 900| 136 , | 2565
96	18 1199 1078| 26 , | 26658
96	18 468| 10 , 26 , | 147 156 7 403
96	653 2 8632| 10 , 144 , | 7 900
96	18 468| 2027 , | 6603
98	7649 875| 132 , | 154033 151029
99	18 11327| 10 , 1102 , | 9735 9736
99	18 11327| 10 1102 6 , | 1755 154 1904 1045 1046
100	154036| 26 , | 151 6527
100	121093| 4 , | 874 390
101	977 1920| 216 , 694 , 17929 , | 338 3217
102	211| 4564 , 132 , | 3321
102	253 1652| 136 , | 8384
102	211| 4564 , | 7 4852 2518 23737
102	211| 4 , | 18 6379 900
102	211| 28 , | 18 204 4 2215 1874
103	245 15049| 216 , 16334 , | 18 22790
103	977 20 445| 10 , 873 , 258 , | 18 565
104	553 554 429| 1347 , 14 , 869 , 1064 , | 18 109 8730
104	2017 515| 2486 , 3127 , | 553 554 429
104	2017 515| 2486 , | 12759
104	2017 515| 2486 , 557 , | 7 772 24556
105	13739| 112 , | 27 1163
105	25142 717| | 9630
105	25142 717| | 36833
105	25142 717| 49 , | 7531 92043
107	7 1098 4 24568| | 392
107	2055| 10 2464 , 42 , 2486 , | 7 1098 4 24568
107	2765 1482| 1448 , 149 , | 2765 438
107	2055| 10 2464 , 42 , 2486 , 25 , 4 , | 54518
108	1132 5584| 35 , 532 , 49 , | 506 20879
108	7594| 176 , 435 , 35 , 149 , | 122 2170
108	1132 5584| 49 , | 2017
108	7594| 176 , 435 , | 1132 5584
110	3986 2050| 10 , 3239 286 , 26 , | 1459 516
110	108 42 2037| 26 , | 2746
110	3986 2050| 10 , 3239 286 , 401 , | 33093
110	18 15318 4 419 9499 13090| 10 , 10871 , 26 , | 3102
112	1755| 554 , 6 , | 26425 481
112	1755| 554 , | 2836 6445
113	245 34260| 2703 , 237 , | 7 10840
113	245 34260| 2703 , 4 , | 7343 4831 682
113	245 34260| 2703 , | 4111
114	1395| 149 337 , 132 , | 727
114	465 470 216| 10 , | 7 1804 10487
115	245 37158| 216 , 14519 , 149 144 , | 7 3083 1944
115	245 37158| 216 , 14519 , 49 , | 18 615 154 1040
115	7 3083 1944| 136 , | 1346 1040
115	7949 154 615| 175 , 1540 , | 1911 615
116	245 972 216| 30386 , 363 , 42 , 363 , | 5726 5727
116	93 713| 2 , 216 , 30386 , 363 , 42 , | 1755
116	93 713| 8216 , | 808
116	93 713| | 1259 1663
116	93 713| 679 , | 18 377 143
116	245 972 216| 30386 , | 253
118	1328 449| 3246 , 132 , 775 , 4 , | 11968 154017
118	10 830| 149 , | 142 836
118	1328 449| 3246 , 132 , 775 , 26 , | 256
118	18 1164 1603| 1465 , 28 , 26 , | 62747 297
119	18 343 1040| 132 , | 458
119	18 343 1040| | 14637
119	7 1862| 716 , 483 , | 18 960
120	808| 331 , | 4318
120	808| 331 , 28 , | 10523 204 26 4317
120	808| 331 , 4 , | 4976
121	18 30| 10 , 1386 , 3933 675 , 132 , | 18 875
121	18 30| 10 , 1386 , 3933 675 , 156 , 136 , | 18 5138 4 9735 9736 4 1755
121	18 30| 10 , 1386 , 3933 675 136 , | 5315
121	18 30| 10 , 1386 , 3933 675 , 4 , | 2442 12893
121	18 30| 10 , 1386 , 3933 675 , | 14369
121	18 30| 10 , 1386 , 3933 675 , | 9996 12898
122	8874| 331 , | 31994
122	8874| 331 , 4 , | 129848
122	8874| 331 , 35 , | 18 3535
123	7 12698 5735 5584| 49 , | 13643
